City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,San Quintin,MX,2021-12-31 11:45:21,30.4833,-115.95,58.86,77,97,3.09
220,Chapais,CA,2021-12-31 11:45:22,49.7834,-74.8492,-6.02,97,99,4.25
221,Maceio,BR,2021-12-31 11:45:23,-9.6658,-35.7353,83.64,74,20,8.05
222,Kodiak,US,2021-12-31 11:45:24,57.79,-152.4072,36.07,90,100,2.44
223,Ponta Do Sol,PT,2021-12-31 11:45:24,32.6667,-17.1,76.12,32,89,11.59
224,Lubango,AO,2021-12-31 11:45:25,-14.9172,13.4925,76.68,47,83,6.13
225,Esperance,AU,2021-12-31 11:45:25,-33.8667,121.9,66.04,84,65,18.19
226,Morant Bay,JM,2021-12-31 11:45:26,17.8815,-76.4093,74.82,82,6,7.87
227,Hamilton,US,2021-12-31 11:40:30,39.1834,-84.5333,50.11,97,90,1.99
228,Sioux Lookout,CA,2021-12-31 11:45:28,50.1001,-91.917,-12.62,77,90,2.3
229,Heinola,FI,2021-12-31 11:45:28,61.2056,26.0381,30.29,92,99,8.84
230,Rosarito,MX,2021-12-31 11:46:29,32.3333,-117.0333,56.14,76,100,1.23
231,Margate,GB,2021-12-31 11:46:30,51.3813,1.3862,57.69,84,90,4.0
232,Luderitz,NA,2021-12-31 11:46:31,-26.6481,15.1594,72.25,58,0,18.21
233,Uyemskiy,RU,2021-12-31 11:46:32,64.4743,40.8524,14.05,92,90,11.18
234,Korla,CN,2021-12-31 11:46:32,41.7597,86.1469,22.5,60,27,2.53
235,Morondava,MG,2021-12-31 11:46:33,-20.2833,44.2833,86.32,66,95,14.63
236,Magadan,RU,2021-12-31 11:46:33,59.5667,150.8,-7.71,87,19,8.21
237,Taraz,KZ,2021-12-31 11:46:34,42.9,71.3667,47.28,60,90,11.18
238,Inirida,CO,2021-12-31 11:46:35,3.8653,-67.9239,74.17,96,99,1.59
239,Bougouni,ML,2021-12-31 11:46:35,11.417,-7.479,91.54,7,49,8.81
240,Mafinga,TZ,2021-12-31 11:46:36,-7.25,35.0667,88.92,32,100,4.56
241,San Cristobal,VE,2021-12-31 11:46:36,7.7669,-72.225,66.38,88,98,2.42
242,Pagegiai,LT,2021-12-31 11:46:37,55.1381,21.9089,38.44,99,100,8.03
243,Miandrivazo,MG,2021-12-31 11:46:37,-19.5167,45.4667,95.95,38,89,7.31
244,Hohhot,CN,2021-12-31 11:46:38,40.8106,111.6522,12.49,44,0,6.71
245,Barrow,US,2021-12-31 11:46:38,71.2906,-156.7887,-20.18,76,90,5.75
246,Alice Springs,AU,2021-12-31 11:42:06,-23.7,133.8833,85.55,35,92,9.22
247,Roald,NO,2021-12-31 11:46:39,62.5833,6.1333,37.33,93,75,8.05
248,Havelock,US,2021-12-31 11:46:40,34.8791,-76.9013,64.38,96,75,3.0
249,Malangali,TZ,2021-12-31 11:46:41,-8.5667,34.85,80.11,44,100,2.13
250,Roma,US,2021-12-31 11:45:17,43.2128,-75.4557,40.39,97,90,5.75
251,Sept-Iles,CA,2021-12-31 11:46:42,50.2001,-66.3821,25.32,86,90,3.44
252,Talnakh,RU,2021-12-31 11:46:42,69.4865,88.3972,-20.79,99,99,5.35
253,Zalantun,CN,2021-12-31 11:46:43,48.0,122.7167,-7.51,78,55,1.83
254,Port Blair,IN,2021-12-31 11:46:43,11.6667,92.75,81.64,73,1,11.45
255,Deputatskiy,RU,2021-12-31 11:46:44,69.3,139.9,-30.71,99,93,1.74
256,Sakakah,SA,2021-12-31 11:46:45,29.9697,40.2064,62.17,48,52,10.98
257,Liling,CN,2021-12-31 11:46:45,27.6667,113.5,48.09,69,62,2.04
258,Maridi,SS,2021-12-31 11:46:46,4.9158,29.4742,96.75,21,38,5.3
259,Umm Lajj,SA,2021-12-31 11:46:47,25.0213,37.2685,72.32,39,0,7.87
260,Grao Mogol,BR,2021-12-31 11:46:48,-16.5594,-42.8897,72.43,76,99,5.48
261,Saskylakh,RU,2021-12-31 11:46:48,71.9167,114.0833,-46.7,100,81,2.73
262,Copiapo,CL,2021-12-31 11:46:49,-27.3667,-70.3333,62.29,80,17,3.2
263,Preobrazheniye,RU,2021-12-31 11:46:49,42.9019,133.9064,0.25,63,17,11.52
264,Meadow Lake,US,2021-12-31 11:46:50,34.8014,-106.5436,40.12,69,79,5.14
265,Rolla,US,2021-12-31 11:46:50,37.9514,-91.7713,50.05,90,1,1.01
266,Zarichne,UA,2021-12-31 11:46:51,51.8126,26.129,37.27,99,100,9.53
267,Baruun-Urt,MN,2021-12-31 11:46:51,46.6806,113.2792,4.42,93,33,6.8
268,Aykhal,RU,2021-12-31 11:46:52,66.0,111.5,-33.59,99,99,2.71
